BikePathType,maxspeed_score,lane_score_normalized,parking_score,crossing_score,Score
separated_lane,0.3,0.2,0,0,0.05
separated_lane,0.3,0.2,0,0,0.16332502612750208
separated_lane,0.3,0.2,0,1,0.4
separated_lane,0.3,0.2,0,1,0.33166251306375105
separated_lane,0.3,0.2,1,0,0.3
separated_lane,0.3,0.2,1,0,0.3775062304043735
separated_lane,0.3,0.8,0,0,0.1
separated_lane,0.3,0.8,0,0,0.09083125653187551
separated_lane,0.7,0.2,0,0,0.2
separated_lane,0.7,0.2,0,0,0.20916874346812447
separated_lane,0.5,0.4,1,1,0.7
separated_lane,0.5,0.4,1,1,0.631662513063751
cycle_lane,0.5,0.2,0,0,0.3
cycle_lane,0.5,0.2,0,0,0.4016129032258063
cycle_lane,0.5,0.2,0,1,0.7
cycle_lane,0.5,0.2,0,1,0.7645161290322583
cycle_lane,0.5,0.2,1,0,0.6
cycle_lane,0.5,0.2,1,0,0.6338709677419354
cycle_lane,0.5,0.85,0,0,0.7
cycle_lane,0.5,0.85,0,0,0.7161290322580646
cycle_lane,0.6,0.4,1,0,0.8
cycle_lane,0.6,0.4,1,0,0.832258064516129
safety_lane,0.3,0.2,0,0,0.2
safety_lane,0.3,0.2,0,0,0.3369803921568628
safety_lane,0.3,0.2,0,1,0.5
safety_lane,0.3,0.2,0,1,0.4630196078431372
safety_lane,0.3,0.2,1,0,0.5
safety_lane,0.3,0.2,1,0,0.5456601307189543
safety_lane,0.3,0.8,0,0,0.5
safety_lane,0.3,0.8,0,0,0.5586797385620914
safety_lane,0.7,0.2,0,0,0.7
safety_lane,0.7,0.2,0,0,0.7456601307189543
safety_lane,0.5,0.4,1,1,0.8
safety_lane,0.5,0.4,1,1,0.8043398692810457
